name;id;riasec
Elektromontér;2067;Prakticko-technický (R)
Provozní elektrikář silnoproudých zařízení;2069;Prakticko-technický (R)
Provozní elektrikář železniční dopravy;2071;Prakticko-technický (R)
Elektromechanik zabezpečovacích systémů pro informační technologie;2074;Prakticko-technický (R)
Provozní elektrikář slaboproudých zařízení;2076;Prakticko-technický (R)
Elektromontér výtahů;2083;Prakticko-technický (R)
Montér ochran proti atmosferickým a síťovým přepětím;2085;Prakticko-technický (R)
Montér suchých staveb;2100;Prakticko-technický (R)
Řidič autobusů, trolejbusů a tramvají;2108;Prakticko-technický (R)
Řidič nákladních automobilů a tahačů;2109;Prakticko-technický (R)
Řidič pracovních strojů a mechanismů;2110;Prakticko-technický (R)
Řidič jeřábník;2112;Prakticko-technický (R)
Pomocný pracovník v dole;2114;Prakticko-technický (R)
Pomocný pracovník v povrchové těžbě;2115;Prakticko-technický (R)
Sklenář;2132;Prakticko-technický (R)
Kartáčník;2136;Prakticko-technický (R)
Výrobce dřevěných a bižuterních předmětů;2137;Prakticko-technický (R)
Výrobce kuřáckých potřeb;2138;Prakticko-technický (R)
Výrobce sportovních potřeb;2140;Prakticko-technický (R)
Výrobce školních a kancelářských potřeb;2141;Prakticko-technický (R)
Výrobce textilních hraček;2143;Prakticko-technický (R)
Šička oděvů, potahů, dekorací;2144;Prakticko-technický (R)
Výrobce dřevařských polotovarů;2170;Prakticko-technický (R)
Překližkář;2171;Prakticko-technický (R)
Strojník speciálních železničních zařízení;2194;Prakticko-technický (R)
Tiskař textilií;2216;Prakticko-technický (R)
Výrobce netkaných textilií;2217;Prakticko-technický (R)
Barvíř textilií;2219;Prakticko-technický (R)
Podkladovač;2227;Prakticko-technický (R)
Pozlacovač;2228;Umělecko-jazykový (A)
Rámař;2229;Prakticko-technický (R)
Dřevomodelář;2232;Prakticko-technický (R)
Provozní montér vodovodů a kanalizací;2234;Prakticko-technický (R)
Technický kontrolor;2247;Prakticko-technický (R)
Brašnář;2258;Prakticko-technický (R)
Rukavičkář;2259;Prakticko-technický (R)
Hradlař a hláskař;2267;Prakticko-technický (R)
Pracovník v dopravní infrastruktuře;2268;Prakticko-technický (R)
Řidič rypadla;2269;Prakticko-technický (R)
Hasič strojník;2272;Prakticko-technický (R)
Hasič specialista;2273;Prakticko-technický (R)
Karosář;2402;Prakticko-technický (R)
Obuvník pro výrobu ortopedické obuvi;2456;Prakticko-technický (R)
Pomocný pracovník v administrativě;2800;
Horský průvodce;2803;Podnikatelský (E)
Masér;2804;Prakticko-technický (R)
Rozmnožovač;2806;Prakticko-technický (R),Administrativně-správní (C)
Posel;2809;Administrativně-správní (C)
Telefonista;2810;Administrativně-správní (C)
Razítkář;2825;Prakticko-technický (R)
Pomocný pracovník v polygrafii;2829;Prakticko-technický (R)
Stavební technik;5000;
Stavební technik projektant;5007;Prakticko-technický (R)
Samostatný stavební technik;5011;
Samostatný stavební technik projektant;5018;Prakticko-technický (R)
Samostatný stavební technik investic a engineeringu;5020;Prakticko-technický (R),Administrativně-správní (C)
Stavbyvedoucí;5021;Prakticko-technický (R),Podnikatelský (E)
Samostatný stavební technik mistr scénické stavby;5022;Prakticko-technický (R)
Stavební inženýr;5023;
Stavební inženýr technolog;5025;Prakticko-technický (R)
Stavební inženýr pracovník kontroly a řízení kvality;5026;Prakticko-technický (R),Administrativně-správní (C)
Stavební inženýr projektant;5028;Prakticko-technický (R)
Stavební inženýr přípravy výroby a investic;5031;Prakticko-technický (R),Administrativně-správní (C)
Samostatný dispečer přenosové elektrické soustavy;5045;Prakticko-technický (R)
Samostatný pracovník investic a engineeringu v energetice;5053;Prakticko-technický (R),Administrativně-správní (C)
Specialista investic a engineeringu v energetice;5063;Prakticko-technický (R),Administrativně-správní (C)
Vodárenský samostatný technik;5072;Prakticko-technický (R)
Vodárenský specialista;5077;Prakticko-technický (R)
Technik telekomunikací a radiokomunikací;5082;
Technik projektant v elektronických komunikacích;5083;Prakticko-technický (R)
Samostatný technik telekomunikací a radiokomunikací;5086;
Samostatný technik inspektor v elektronických komunikacích;5088;Prakticko-technický (R)
Samostatný technik projektant v elektronických komunikacích;5092;Prakticko-technický (R)
Technik telekomunikací a radiokomunikací specialista;5094;
Technický manažer provozu telekomunikací v elektronických komunikacích;5096;Podnikatelský (E)
Projektant v elektronických komunikacích specialista;5097;Prakticko-technický (R)
Vývojový a výzkumný pracovník pro elektronické komunikace;5098;Intelektuálně-výzkumný (I)
Samostatný elektrotechnik kontrolor jakosti;5112;Prakticko-technický (R)
Elektroinženýr vědecký pracovník;5127;Intelektuálně-výzkumný (I)
Strojírenský technik mistr;5130;Podnikatelský (E)
Strojírenský technik technické kontroly;5134;Prakticko-technický (R)
Strojírenský technik investic a engineeringu;5138;Prakticko-technický (R),Administrativně-správní (C)
Samostatný strojírenský technik kontrolor jakosti;5142;Prakticko-technický (R)
Samostatný strojírenský technik technický manažer provozu;5147;Prakticko-technický (R),Podnikatelský (E)
Samostatný strojírenský technik manažer provozu;5149;Podnikatelský (E)
Strojní inženýr vědecký pracovník;5157;Intelektuálně-výzkumný (I)
Hutní technik;5159;
Hutní technik mistr;5160;Prakticko-technický (R)
Hutní technik dispečer;5161;Prakticko-technický (R)
Hutní technik technolog;5162;Prakticko-technický (R)
Hutní technik normovač;5163;Prakticko-technický (R)
Hutní technik řízení jakosti;5164;Prakticko-technický (R)
Hutní technik projektant;5166;Prakticko-technický (R)
Samostatný hutní technik;5168;
Samostatný hutní technik dispečer;5169;Prakticko-technický (R)
Samostatný hutní technik technolog;5170;Prakticko-technický (R)
Samostatný hutní technik řízení jakosti;5172;Prakticko-technický (R)
Samostatný hutní technik projektant;5175;Prakticko-technický (R)
Samostatný hutní technik technický manažer provozu;5176;Prakticko-technický (R),Podnikatelský (E)
Hutní inženýr;5178;
Hutní inženýr dispečer;5179;Prakticko-technický (R)
Hutní inženýr technolog;5180;Prakticko-technický (R)
Hutní inženýr technik řízení jakosti;5181;Prakticko-technický (R)
Hutní inženýr projektant;5183;Prakticko-technický (R)
Hutní inženýr výzkumný a vývojový pracovník;5184;Intelektuálně-výzkumný (I)
Samostatný sklářský technik manažer provozu;5228;Podnikatelský (E)
Polygrafický technik;5236;
Polygrafický technik mistr;5237;Prakticko-technický (R),Podnikatelský (E)
Polygrafický technik dispečer;5238;Prakticko-technický (R)
Polygrafický technik technolog;5239;Prakticko-technický (R)
Polygrafický technik normovač;5240;Prakticko-technický (R)
Polygrafický technik kontrolor jakosti;5241;Prakticko-technický (R)
Samostatný polygrafický technik;5243;
Samostatný polygrafický technik technolog;5245;Prakticko-technický (R)
Samostatný polygrafický technik pracovník řízení jakosti;5247;Prakticko-technický (R)
Samostatný polygrafický technik vedoucí provozu;5250;Podnikatelský (E)
Polygrafický inženýr;5251;
Polygrafický inženýr technolog;5253;Prakticko-technický (R)
Polygrafický inženýr pracovník řízení jakosti;5255;Prakticko-technický (R)
Polygrafický inženýr výzkumný a vývojový pracovník;5256;Intelektuálně-výzkumný (I)
Papírenský technik normovač;5262;Prakticko-technický (R)
Samostatný papírenský technik;5265;
Samostatný papírenský technik dispečer;5266;Prakticko-technický (R)
Samostatný papírenský technik technolog;5267;Prakticko-technický (R)
Samostatný papírenský technik kontrolor jakosti;5268;Prakticko-technický (R)
Samostatný papírenský technik pracovník řízení jakosti;5269;Prakticko-technický (R)
Samostatný papírenský technik výzkumný a vývojový pracovník;5270;Intelektuálně-výzkumný (I)
Samostatný papírenský technik technický manažer provozu;5271;Prakticko-technický (R),Podnikatelský (E)
Samostatný papírenský technik manažer provozu;5272;Podnikatelský (E)
Papírenský inženýr;5273;
Papírenský inženýr technolog;5275;Prakticko-technický (R)
Papírenský inženýr pracovník řízení jakosti;5276;Prakticko-technický (R)
Papírenský inženýr výzkumný a vývojový pracovník;5277;Intelektuálně-výzkumný (I)
Papírenský inženýr vědecký pracovník;5278;Intelektuálně-výzkumný (I)
Důlní měřič;5281;Prakticko-technický (R)
Stavební geolog;5297;Prakticko-technický (R)
Důlní geolog specialista;5302;Prakticko-technický (R),Intelektuálně-výzkumný (I)
Stavební geolog specialista;5303;Prakticko-technický (R),Intelektuálně-výzkumný (I)
Lesní technik;5304;
Lesní technik lesník;5306;Prakticko-technický (R)
Vodohospodářský technik;5312;
Vodohospodářský technik říčního dozoru;5313;Prakticko-technický (R)
Vodohospodářský technik hrázný jezný;5314;Prakticko-technický (R)
Vodohospodářský technik dispečer;5315;Prakticko-technický (R)
Projektant vodních staveb;5317;Prakticko-technický (R)
Vodohospodářský samostatný technik;5318;
Vodohospodářský samostatný úsekový technik;5320;Prakticko-technický (R)
Vodohospodářský samostatný technik dispečer;5321;Prakticko-technický (R)
Samostatný projektant vodních staveb;5324;Prakticko-technický (R)
Projektant vodních staveb specialista;5326;Prakticko-technický (R)
Technik silniční dopravy;5329;
Samostatný technik silniční dopravy;5330;
Inženýr silniční dopravy;5331;
Technik železniční dopravy;5332;
Komandující;5334;Prakticko-technický (R)
Nádražní;5335;Prakticko-technický (R)
Vozový disponent;5337;Prakticko-technický (R)
Dozorce depa;5338;Prakticko-technický (R)
Osobní pokladník železniční dopravy;5344;Administrativně-správní (C)
Nákladní pokladník železniční dopravy;5345;Administrativně-správní (C)
Samostatný referent železniční dopravy;5359;Administrativně-správní (C)
Samostatný bezpečnostní pracovník;5377;
Kryptograf specialista;5385;Intelektuálně-výzkumný (I)
Samostatný bezpečnostní technik;5390;Administrativně-správní (C)
Klientský pracovník v pojišťovnictví;5394;Administrativně-správní (C)
Získatel pojištění;5398;Administrativně-správní (C)
Pracovník agentáže;5431;
Tajemník uměleckého provozu;5433;Umělecko-jazykový (A),Administrativně-správní (C)
Dirigent;5437;Umělecko-jazykový (A)
Hudebník člen orchestru a souboru;5438;Umělecko-jazykový (A)
Hudebník sólista;5439;Umělecko-jazykový (A)
Hudební režisér;5440;Umělecko-jazykový (A)
Korepetitor;5441;Umělecko-jazykový (A)
Zpěvák;5447;
Zpěvák sólista;5449;Umělecko-jazykový (A)
Hlasový pedagog;5450;Umělecko-jazykový (A)
Zpěvák člen sboru a souboru;5451;Umělecko-jazykový (A)
Samostatný pracovník audiovize;5467;Umělecko-jazykový (A)
Animátor;5468;Umělecko-jazykový (A)
Režisér;5469;
Divadelní režisér;5470;Umělecko-jazykový (A)
Filmový režisér;5471;Umělecko-jazykový (A)
Televizní režisér;5472;Umělecko-jazykový (A)
Rozhlasový režisér;5473;Umělecko-jazykový (A)
Režisér dabingu;5474;Umělecko-jazykový (A)
Režisér rozhlasového a televizního vysílání;5475;Umělecko-jazykový (A)
Herec;5477;Umělecko-jazykový (A)
Scénograf;5482;Umělecko-jazykový (A)
Snímač triků;5483;Umělecko-jazykový (A)
Kameraman;5485;Umělecko-jazykový (A)
Operátor simultánního titulkování;5486;Umělecko-jazykový (A)
Technickoadministrativní pracovník;5550;
Korespondentka;5562;Administrativně-správní (C)
Administrativní pracovník;5564;
Sekretářka;5574;Administrativně-správní (C)
Pracovník zahraničních vztahů;5576;Administrativně-správní (C)
Redakční sekretář;5577;Administrativně-správní (C)
Organizační pracovník;5578;Podnikatelský (E),Administrativně-správní (C)
Samostatný administrativní pracovník;5579;
Samostatný organizační pracovník;5589;Podnikatelský (E),Administrativně-správní (C)
Samostatný referent zahraničních vztahů;5590;Podnikatelský (E),Administrativně-správní (C)
Samostatný redakční sekretář;5591;Podnikatelský (E),Administrativně-správní (C)
Hospodářskosprávní referent;5603;Administrativně-správní (C)
Referent péče o hmotný majetek;5604;Administrativně-správní (C)
Správce památkových objektů (kastelán);5605;Administrativně-správní (C)
Správce depozitáře;5606;Administrativně-správní (C)
Samostatný správce;5608;
Samostatný hospodářskosprávní referent;5619;Administrativně-správní (C)
Samostatný referent péče o hmotný majetek;5620;Administrativně-správní (C)
Samostatný správce depozitáře;5621;Administrativně-správní (C)
Samostatný správce památkových objektů (kastelán);5622;Administrativně-správní (C)
Referent pro správní řízení ve stavebnictví;5624;Administrativně-správní (C)
Správce specialista;5625;
Specialista péče o hmotný majetek;5635;Administrativně-správní (C)
Specialista pro správní řízení ve stavebnictví;5636;Administrativně-správní (C)
Personalista;5637;Administrativně-správní (C)
Samostatný personalista;5647;Administrativně-správní (C)
Personalista specialista;5657;Podnikatelský (E),Administrativně-správní (C)
Ekonom;5667;
Mzdový referent;5678;Administrativně-správní (C)
Samostatný ekonom;5679;
Samostatný účetní;5689;Administrativně-správní (C)
Samostatný mzdový referent;5690;Administrativně-správní (C)
Samostatný cenař;5691;Administrativně-správní (C)
Samostatný rozpočtář;5692;Administrativně-správní (C)
Ekonom specialista;5693;
Účetní specialista;5703;Administrativně-správní (C)
Daňový specialista a daňový poradce;5705;Podnikatelský (E)
Finanční analytik;5706;Podnikatelský (E)
Statistik specialista;5727;Intelektuálně-výzkumný (I)
Technik IT;5767;Intelektuálně-výzkumný (I)
Samostatný správce aplikací;5789;Prakticko-technický (R)
Inženýr IT a řídících systémů;5855;
Systémový inženýr řídícího systému;5865;Intelektuálně-výzkumný (I)
Inženýr IT;5866;Prakticko-technický (R)
Technik letecké dopravy;5867;
Řídící odbavovací plochy;5877;Prakticko-technický (R)
Operátor letových dat;5878;Prakticko-technický (R)
Řídící letového provozu;5912;Prakticko-technický (R)
Inženýr letového provozu;5924;Prakticko-technický (R)
Pilot;5927;Prakticko-technický (R)
Vedoucí poštovního provozu;5967;
Samostatný referent poštovního provozu;5977;Administrativně-správní (C)
Zemědělský technik;6072;
Zemědělský specialista;6098;
Samostatný textilní technik;6187;
Samostatný textilní technik technolog;6198;Prakticko-technický (R)
Samostatný textilní návrhář;6201;Prakticko-technický (R),Intelektuálně-výzkumný (I)
Textilní manažer;6204;
Vedoucí textilní technolog;6215;Prakticko-technický (R)
Kožařský technik normovač;6282;Prakticko-technický (R)
Kožařský inženýr pracovník řízení výroby a jakosti;6314;Prakticko-technický (R)
Kožařský inženýr výzkumný, vývojový a vědecký pracovník;6319;Intelektuálně-výzkumný (I)
Dřevařský technik;6321;
Dřevařský technik mistr;6331;Podnikatelský (E)
Dřevařský technik dispečer;6332;Prakticko-technický (R)
Dřevařský technik technolog;6333;Prakticko-technický (R)
Dřevařský technik normovač;6334;Prakticko-technický (R)
Dřevařský technik kontrolor jakosti;6335;Prakticko-technický (R)
Technik výroby hudebních nástrojů;6336;
Technik výroby hudebních nástrojů mistr;6346;Podnikatelský (E)
Technik výroby hudebních nástrojů dispečer;6347;Prakticko-technický (R)
Technik výroby hudebních nástrojů technolog;6348;Prakticko-technický (R)
Technik výroby hudebních nástrojů normovač;6349;Prakticko-technický (R)
Technik výroby hudebních nástrojů kontrolor jakosti;6350;Prakticko-technický (R)
Samostatný dřevařský technik;6351;
Samostatný dřevařský technik dispečer;6361;Prakticko-technický (R)
Samostatný dřevařský technik technolog;6362;Prakticko-technický (R)
Samostatný dřevařský technik kontrolor jakosti;6363;Prakticko-technický (R)
Samostatný dřevařský technik konstruktér;6365;Intelektuálně-výzkumný (I)
Samostatný dřevařský technik výzkumný a vývojový pracovník;6366;Intelektuálně-výzkumný (I)
Samostatný dřevařský technik manažer provozu;6367;Podnikatelský (E)
Dřevařský inženýr;6368;
Dřevařský inženýr dispečer;6378;Prakticko-technický (R)
Dřevařský inženýr technolog;6379;Prakticko-technický (R)
Dřevařský inženýr konstruktér;6380;Intelektuálně-výzkumný (I)
Dřevařský inženýr pracovník řízení jakosti;6381;Prakticko-technický (R)
Dřevařský inženýr výzkumný a vývojový pracovník;6382;Intelektuálně-výzkumný (I)
Produkční;6444;
Produkční kulturních zařízení;6454;Podnikatelský (E)
Produkční koncertů;6455;Podnikatelský (E)
Produkční výstav;6456;Podnikatelský (E)
Produkční komerčních výstav;6457;Podnikatelský (E)
Promítač;6634;Prakticko-technický (R)
Pracovník audiovize;6654;
Asistent audiovize;6664;Umělecko-jazykový (A)
Asistent střihu audiovize;6665;Umělecko-jazykový (A)
Grafik audiovize;6666;Umělecko-jazykový (A)
Modelář kreseb;6667;Umělecko-jazykový (A)
Malíř scény;6668;Umělecko-jazykový (A)
Kolorista;6669;Umělecko-jazykový (A)
Konturista;6670;Umělecko-jazykový (A)
Kontrolor kreseb;6671;Umělecko-jazykový (A)
Mistr barev;6672;Umělecko-jazykový (A)
Fázař;6673;Umělecko-jazykový (A)
Skript;6674;Umělecko-jazykový (A)
Finišér;6675;Umělecko-jazykový (A)
Asistent animátora;6676;
Vedoucí ateliéru animovaného filmu;6686;Umělecko-jazykový (A)
Vedoucí kresby;6687;Umělecko-jazykový (A)
Asistent kameramana;6771;
Pomocný kameraman;6781;Umělecko-jazykový (A)
Švenkr;6782;Umělecko-jazykový (A)
Ostřič;6783;Umělecko-jazykový (A)
Vrchní osvětlovač;6784;Umělecko-jazykový (A)
Specialista primárního videozáznamu;6785;Umělecko-jazykový (A)
Nápověda;6806;Umělecko-jazykový (A)
Inspicient;6816;Umělecko-jazykový (A)
Hlasatel;6838;
Moderátor a konferenciér;6848;Umělecko-jazykový (A)
Konzervátor - restaurátor s výjimkou kulturních památek;6868;
Konzervátor a restaurátor uměleckořemeslných a uměleckých děl;6878;
Restaurátor výtvarných děl;6888;
Památkář;6908;Umělecko-jazykový (A)
Bankovní pracovník;6918;
Pracovník vnitřních bankovních služeb;6930;Administrativně-správní (C)
Bankovní pokladník;6931;Administrativně-správní (C)
Pracovník bankovních služeb klientům;6932;Administrativně-správní (C)
Pracovník spotřebitelských úvěrů;6934;Administrativně-správní (C)
Pracovník podpisových vzorů;6935;Administrativně-správní (C)
Pracovník hotovostních operací a zahraničních šeků;6936;Administrativně-správní (C)
Pracovník správy úvěrového portfolia;6937;Administrativně-správní (C)
Pracovník kapitálových obchodů;6938;Podnikatelský (E)
Pracovník systému platebních karet;6939;Administrativně-správní (C)
Pracovník řízení úvěrů;6940;Podnikatelský (E)
Makléř asistent;6941;Podnikatelský (E)
Samostatný bankovní pracovník;6942;
Samostatný pracovník správy úvěrového portfolia;6952;Podnikatelský (E)
Samostatný pracovník podnikatelských úvěrů;6953;Podnikatelský (E)
Samostatný pracovník kapitálových obchodů;6954;Podnikatelský (E)
Samostatný pracovník systému platebních karet;6955;Podnikatelský (E)
Samostatný pracovník řízení úvěrů;6956;Podnikatelský (E)
Metodik bankovních hotovostních operací;6957;Podnikatelský (E)
Dealer asistent;6958;Podnikatelský (E)
Samostatný pracovník vývoje bankovních produktů;6959;Podnikatelský (E)
Samostatný pracovník devizových obchodů;6960;Podnikatelský (E)
Analytik finančního trhu;6961;Podnikatelský (E)
Bankovní specialista;6962;
Specialista systému platebních karet;6972;Podnikatelský (E)
Specialista řízení úvěrů;6973;Podnikatelský (E)
Makléř;6974;Podnikatelský (E)
Specialista metodik bankovních hotovostních operací;6975;Podnikatelský (E)
Dealer;6976;Podnikatelský (E)
Specialista vývoje bankovních produktů;6977;Podnikatelský (E)
Specialista devizových obchodů;6978;Podnikatelský (E)
Specialista analýzy finančního trhu;6979;Podnikatelský (E)
Specialista bankovních strategií;6980;Podnikatelský (E)
Architekt a urbanista;6981;
Architekt;6991;Umělecko-jazykový (A)
Urbanista;6992;Umělecko-jazykový (A)
Scénárista výstav;6995;Umělecko-jazykový (A)
Architekt výstav;6996;Umělecko-jazykový (A)
Architekt filmu;6997;Umělecko-jazykový (A)
Knihkupec;7128;Podnikatelský (E)
Pracovník marketingu;7158;
Referent marketingu;7168;Podnikatelský (E)
Propagační referent;7169;Podnikatelský (E)
Reklamační referent;7170;Podnikatelský (E)
Samostatný pracovník marketingu;7171;Podnikatelský (E)
Pracovník pohostinství a hotelového provozu;7191;
Provozář;7201;Podnikatelský (E)
Vedoucí recepce;7202;Sociální (S)
Samostatný pracovník pohostinství a hotelového provozu;7203;
Pracovník cestovního ruchu;7213;Podnikatelský (E)
Samostatný pracovník cestovní kanceláře;7225;Podnikatelský (E)
Průvodce;7237;
Potravinářský specialista;7278;
Potravinářský specialista technolog;7289;Prakticko-technický (R)
Potravinářský specialista pro řízení jakosti a hygieny;7290;Prakticko-technický (R)
Potravinářský specialista pro vývoj, vědu a výzkum;7291;Intelektuálně-výzkumný (I)
Technik obalové techniky specialista;7325;Prakticko-technický (R)
Mistr silniční dopravy;7491;Prakticko-technický (R),Podnikatelský (E)
Provozní technik silniční dopravy;7492;Prakticko-technický (R)
Referent silniční dopravy;7493;Administrativně-správní (C)
Manažer provozu silniční dopravy;7494;Podnikatelský (E)
Samostatný referent silniční dopravy;7495;Administrativně-správní (C)
Manažer silniční dopravy;7496;Podnikatelský (E)
Vedoucí referent silniční dopravy;7497;Administrativně-správní (C)
Polygrafický inženýr vedoucí závodu;7500;Podnikatelský (E)
Samostatný technik energetického dispečinku;7507;Prakticko-technický (R)
Samostatný technik měření v elektroenergetice;7511;Prakticko-technický (R),Administrativně-správní (C)
Operátor poštovního provozu;7557;
Samostatný pracovník poštovního provozu;7558;
Specialista poštovního provozu;7559;
Pracovník poštovní přepážky I;7561;Administrativně-správní (C)
Pracovník vnitřní poštovní služby II;7562;Administrativně-správní (C)
Pracovník poštovní přepravy I;7563;Administrativně-správní (C)
Pracovník vnitřní poštovní služby III;7565;Administrativně-správní (C)
Pracovník poštovní přepravy;7566;Administrativně-správní (C)
Pokladník pošty;7567;Administrativně-správní (C)
Směnař (vedoucí směny);7568;Podnikatelský (E)
Poštmistr;7569;Podnikatelský (E)
Administrátor pošt;7570;Podnikatelský (E)
Kontrolor poštovního provozu;7571;Administrativně-správní (C)
Referent poštovního provozu;7572;Administrativně-správní (C)
Inspektor poštovního provozu;7573;Administrativně-správní (C)
Metodik poštovního provozu;7574;Administrativně-správní (C)
Vrchní inspektor poštovního provozu;7575;Administrativně-správní (C)
Dispečer přepravního uzlu;7576;Prakticko-technický (R)
Restaurátor malířských děl uměleckého řemesla;7580;Umělecko-jazykový (A)
Restaurátor děl uměleckého řemesla ve skle, porcelánu a keramice;7586;Umělecko-jazykový (A)
Restaurátor děl uměleckého řemesla v papíru, pergamenu a kůži;7587;Umělecko-jazykový (A)
Restaurátor děl uměleckého řemesla v textilu;7588;Umělecko-jazykový (A)
Restaurátor hudebních nástrojů;7589;Umělecko-jazykový (A)
Konzervátor a preparátor;7593;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých malířských děl;7594;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl v kameni;7595;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl v kovu;7596;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl ve dřevě;7597;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl ve skle, keramice a porcelánu;7598;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl v textilu;7599;Umělecko-jazykový (A)
Restaurátor uměleckořemeslných a uměleckých děl z papíru, pergamenu a kůže;7600;Umělecko-jazykový (A)
Preparátor restaurátor;7601;Umělecko-jazykový (A)
Restaurátor malířských výtvarných děl;7602;Umělecko-jazykový (A)
Restaurátor sochařských výtvarných děl;7603;Umělecko-jazykový (A)
Recepční;7604;Sociální (S)
Vedoucí rezervačního oddělení;7605;Podnikatelský (E)
Vedoucí stravovacího úseku;7606;Podnikatelský (E)
Průvodce odborný;7607;Podnikatelský (E)
